2002	20.4	13.2
2002	18.0	13.6
2002	19.2	12.4
2002	19.6	16.6
2002	21.0	16.4
2002	19.8	11.2
2003    22.6	17.0
2003    23.7	15.6
2003    17.8	15.4
2003    24.0	16.6
2003    13.5	9.2
2003    10.2	6.0
2004    20.4	15.4
2004    34.2	20.2
2004    23.2	15.4
2004    21.4	14.8
2004    12.4	9.4
2004    13.4	8.0
2005    20.8	14.5
2005    18.1	15.0
2005    20.8	17.6
2005    19.0	12.8
2005    19.6	13.0
2005    13.2	8.0
2006    30.7	17.0
2006    21.2	18.6
2006    24.2	18.0
2006    24.7	17.2
2006    15.2	10.4
2006    13.6	11.2
2007    18.6	14.6
2007    22.1	17.4
2007    19.8	14.6
2007    22.5	17.5
2007    12.0	8.2
2007    11.3	8.4
