2002	10.4	1.8
2002	18.8	10.2
2002	9.5	5.0
2002	12.8	7.8
2002	14.2	8.0
2002	27.8	13.6
2003    18.4	10.3
2003    8.7	-0.2
2003    17.1	10.0
2003    14.6	10.0
2003    24.4	9.4
2003    18.2	15.0
2004    11.1	2.5
2004    18.6	10.6
2004    4.1	-0.6
2004    17.2	10.0
2004    13.8	6.0
2004    19.2	13.8
2005    10.4	7.5
2005    8.6	5.0
2005    2.2	-4.7
2005    23.7	9.0
2005    27.9	12.0
2005    18.0	13.4
2006    9.2	5.0
2006    10.2	5.4
2006    8.7	4.0
2006    16.6	11.0
2006    14.2	6.6
2006    15.8	9.5
2007    15.6	10.4
2007    7.3	4.4
2007    17.5	10.0
2007    10.4	5.6
2007    10.7	8.3
2007    14.6	11.6
